"USER";"TYPE";"BANKL";"BANKA";"NAME1";"NAME2";"NAME3";"NAME4";"BNKLZ";"REGION";"POST_CODE1";"CITI1";"CITI2";"STREET";"HOUSE_NUM1";"HOUSE_NUM2";"BUILDING";"FLOOR";"ROOMNUMBER";"STRAS";"BRNCH";"SWIFT";"TEL_NUM1";"BANK_DELETE";"fc__uuid"
;"банки";"040001002";"ПУ БАНКА РОССИИ N 43192";"ПУ БАНКА РОССИИ N 43192";"";"";"";"040001002";"";"043192";"";"";"П/П 43192";"";"";"";"";"";"П/П 43192";"";"";"";;"22f8a488-111f-47e0-b60f-55c42b33823b"
;"банки";"040002002";"ПУ БАНКА РОССИИ N 43197";"ПУ БАНКА РОССИИ N 43197";"";"";"";"040002002";"";"043197";"";"";"П/П 43197";"";"";"";"";"";"П/П 43197";"";"";"";"";"719f2e8f-abdb-4047-a781-041b89dece29"
;"банки";"040004002";"ПУ БАНКА РОССИИ N 67903";"ПУ БАНКА РОССИИ N 67903";"";"";"";"040004002";"";"067903";"";"";"П/П 67903";"";"";"";"";"";"П/П 67903";;;"";;"f533f528-21dd-43e1-8830-acbdc1df5be2"
;"банки";"040009002";"ПУ БАНКА РОССИИ N 10462";"ПУ БАНКА РОССИИ N 10462";"";"";"";"040009002";"";"010462";"";"";"П/П 10462";"";"";"";"";"";"П/П 10462";"";"";"";"X";"5da5c5ab-d506-40c6-a541-acb22fabd813"
;"банки";"040012002";"ПУ БАНКА РОССИИ N 03148";"ПУ БАНКА РОССИИ N 03148";"";"";"";"040012002";"";"003148";"";"";"П/П 03148";"";"";"";"";"";"П/П 03148";"";"";"";;"ea4b86b2-90bd-4f77-a77d-984d7c6060a9"
;"банки";"040021002";"ПУ БАНКА РОССИИ N 83604";"ПУ БАНКА РОССИИ N 83604";"";"";"";"040021002";"";"083604";"";"";"П/П 83604";"";"";"";"";"";"П/П 83604";"";"";"";;"ada8c9c0-8609-43e4-87cb-7764a3d7d8dd"
;"банки";"040027002";"ПУ БАНКА РОССИИ N 47070";"ПУ БАНКА РОССИИ N 47070";"";"";"";"040027002";;"047070";;;;;;"П/П 47070";;;"П/П 47070";;;;"X";"c36b1b76-5261-4a31-9f8f-38815e1074b3"
;"банки";"040031002";"ПУ БАНКА РОССИИ N 83524";"ПУ БАНКА РОССИИ N 83524";"";"";"";"040031002";"";"083524";"";"";"П/П 83524";"";"";"";"";"";"П/П 83524";"";"";"";"";"33432703-ca32-43ac-9cca-d90efef4b06b"
;"банки";"040037002";"ПУ БАНКА РОССИИ N 25631";"ПУ БАНКА РОССИИ N 25631";"";"";"";"040037002";"";"468320";"Г. БАЙКОНУР";"";"П/П 25631";"";"";"";"";"";"П/П 25631";"";"";"(33622)70695";"";"45720e40-0061-43eb-8675-fa47f17005ed"
;"банки";"040037469";"ФИЛИАЛ ""БАЙКОНУР"" ОАО ""СОБИНБАНК""";"ФИЛИАЛ ""БАЙКОНУР"" ОАО ""СОБИНБАНК""";"";"";"";"040037469";"";"468320";"Г. БАЙКОНУР";"";"УЛ.СОВЕТСКОЙ АРМИИ";"11";"";"";"";"";"УЛ.СОВЕТСКОЙ АРМИИ,11";"30101810900000000469";"";"(33622)72766,72772,727777";"X";"f50cc602-96ba-4fa2-83cf-8ff81aa6aba8"
"Бондарев 20160530 upd";"банки";"040037470";"БАЙКОНУРСКИЙ ФИЛИАЛ АО ""ФОНДСЕРВИСБАНК""";"БАЙКОНУРСКИЙ ФИЛИАЛ АО ""ФОНДСЕРВИСБАНК""";;;;"040037470";;"468320";"Г. БАЙКОНУР";;"ПР-Т КОРОЛЕВА";"21";;;;;"ПР-Т КОРОЛЕВА,21";"30101810300000000470";;"(33622)70172,70173";;"3f26143e-9a08-42cb-9bbe-d1427a23c819"
;"банки";"040037471";"БАЙКОНУРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";"БАЙКОНУРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";"";"";"";"040037471";"";"468320";"Г. БАЙКОНУР";"";"УЛ.СОВЕТСКОЙ АРМИИ";"11";;;"";"";"УЛ.СОВЕТСКОЙ АРМИИ,11";"30101810000370000471";;"(33622)42772,42766";;"d63c97da-8be7-46cf-bd38-63c6c556bc94"
;"банки";"040041002";"ПУ БАНКА РОССИИ N 10513";"ПУ БАНКА РОССИИ N 10513";"";"";"";"040041002";"";"010513";"";"";"П/П 10513";"";"";"";"";"";"П/П 10513";"";"";"";;"5d54951b-41b6-4546-b7ad-19b99d3e1e4d"
